Equation,Dataset,Scale,Config_ID,Time_Mean_RMSE,Final_Step_RMSE,Time_Callable,RMSE
Wave,Zirahuen,3,nvec_20_cpu,3.2868907748959284e-06,4.548227934126922e-06,8.889513091009576,
Wave,Zirahuen,3,nvec_20_cuda,3.286890760582111e-06,4.54822804603635e-06,190.70677149499534,
Wave,Alchichica,1,nvec_20_cpu,1.0279485208024476e-05,2.4436489933590437e-05,1.0154559490038082,
Wave,Alchichica,1,nvec_20_cuda,1.0279485262152409e-05,2.4436490247724548e-05,34.445314797980245,
Wave,Alchichica,2,nvec_20_cpu,4.965972089603948e-06,2.767976191817289e-06,7.156650341989007,
Wave,Alchichica,2,nvec_20_cuda,4.965972085590301e-06,2.767976206867048e-06,148.2886702879914,
Wave,Alchichica,3,nvec_20_cpu,3.573731953422218e-06,2.4202453630475245e-06,19.837679367978126,
Wave,Alchichica,3,nvec_20_cuda,3.573731857069374e-06,2.42024540974549e-06,414.92006432201015,
Wave,Titicaca,1,nvec_20_cpu,1.0675048358613031e-05,9.274002729206924e-06,0.20569277799222618,
Wave,Titicaca,1,nvec_20_cuda,1.067504835912069e-05,9.274002725008929e-06,5.303050881018862,
Wave,Titicaca,2,nvec_20_cpu,4.313054225721629e-06,2.294061001599512e-06,0.6539221620187163,
Wave,Titicaca,2,nvec_20_cuda,4.313054254411548e-06,2.294061007634862e-06,19.524115655978676,
Wave,Titicaca,3,nvec_20_cpu,3.007769550061024e-06,1.8932047496977179e-06,1.5910455439588986,
Wave,Titicaca,3,nvec_20_cuda,3.0077695501596955e-06,1.8932047492097966e-06,37.94787398999324,
Wave,Poopo,1,nvec_20_cpu,6.530172576671678e-06,5.406781829924715e-06,0.32482653501210734,
Wave,Poopo,1,nvec_20_cuda,6.530172580246466e-06,5.406781824775536e-06,9.200232876988593,
Wave,Poopo,2,nvec_20_cpu,2.8667546352851936e-06,3.427269848308879e-06,1.3426840400206856,
Wave,Poopo,2,nvec_20_cuda,2.86675463740817e-06,3.427269849347927e-06,41.98032861499814,
Wave,Poopo,3,nvec_20_cpu,2.0971299736985044e-06,3.341082599529841e-06,4.253881467971951,
Wave,Poopo,3,nvec_20_cuda,8.538464144599287e-05,0.004001199381556268,90.45156576100271,
Wave,Yuriria,1,nvec_20_cpu,7.725841970054973e-06,1.1097868059885341e-05,0.3695384470047429,
Wave,Yuriria,1,nvec_20_cuda,7.725841984592579e-06,1.1097868104823624e-05,11.213976906961761,
Wave,Yuriria,2,nvec_20_cpu,3.6993300976989416e-06,4.6999674730575855e-06,1.644227923010476,
Wave,Yuriria,2,nvec_20_cuda,3.699330099517014e-06,4.699967479976869e-06,56.557129118999,
Wave,Yuriria,3,nvec_20_cpu,2.633833905714316e-06,3.7898275557899753e-06,5.132948151032906,
Wave,Yuriria,3,nvec_20_cuda,2.633833913452833e-06,3.789827631482552e-06,141.66166068898747,
Wave,Erie,1,nvec_20_cpu,4.720919772521908e-06,5.842008063484342e-06,0.34941826900467277,
Wave,Erie,1,nvec_20_cuda,4.720919780736944e-06,5.842007991440189e-06,13.767063187027816,
Wave,Erie,2,nvec_20_cpu,2.5280728124203766e-06,3.517464958417146e-06,1.4427980720065534,
Wave,Erie,2,nvec_20_cuda,2.528072811588631e-06,3.5174649446447357e-06,51.67249586596154,
Wave,Erie,3,nvec_20_cpu,1.9722748350729694e-06,4.554801763885618e-06,4.650236559973564,
Wave,Erie,3,nvec_20_cuda,1.9722748393693975e-06,4.554801756104519e-06,94.18693825002993,
Wave,Malawi,1,nvec_20_cpu,2.5814863155629967e-06,2.106078983740866e-06,0.21606248198077083,
Wave,Malawi,1,nvec_20_cuda,2.5814863164515703e-06,2.1060789772236903e-06,6.504205297969747,
Wave,Malawi,2,nvec_20_cpu,1.5161626681393815e-06,1.986544663306848e-06,0.7609268999658525,
Wave,Malawi,2,nvec_20_cuda,1.5161626680509944e-06,1.9865446602983993e-06,22.78021328098839,
Wave,Malawi,3,nvec_20_cpu,1.3912300310143736e-06,4.08966205543209e-06,1.9740001689642668,
Wave,Malawi,3,nvec_20_cuda,1.391230030668956e-06,4.0896620548785805e-06,48.03366694500437,
Wave,Zempoala,1,nvec_20_cpu,6.154805674717084e-06,3.2940695146990386e-06,0.2822992920409888,
Wave,Zempoala,1,nvec_20_cuda,6.1548056780582195e-06,3.2940695137052525e-06,9.482841602992266,
Wave,Zempoala,2,nvec_20_cpu,3.1189799569415727e-06,1.690546197693249e-06,1.0934860220295377,
Wave,Zempoala,2,nvec_20_cuda,3.118979956982019e-06,1.6905462000137302e-06,36.27136078197509,
Wave,Zempoala,3,nvec_20_cpu,2.306592271316546e-06,2.7230420279858757e-06,3.2730543009820394,
Wave,Zempoala,3,nvec_20_cuda,2.3065922752234216e-06,2.7230420230231398e-06,86.61843914201017,
Perturbation,Cuitzeo,1,nvec_20_cpu_upwind_True,,,0.02131906501017511,6.795462545571051e-06
Perturbation,Cuitzeo,1,nvec_20_cpu_upwind_False,,,0.022781644016504288,6.795462545571051e-06
Perturbation,Cuitzeo,1,nvec_20_cuda_upwind_True,,,0.03680871496908367,6.795462545570984e-06
Perturbation,Cuitzeo,1,nvec_20_cuda_upwind_False,,,0.03923966101137921,6.795462545570984e-06
Perturbation,Cuitzeo,2,nvec_20_cpu_upwind_True,,,0.08121572801610455,6.762886180013788e-05
